qid	text	gram	type
INEX_LD-20120111	vietnam war movie	vietnam	attribute
INEX_LD-20120111	vietnam war movie	war	attribute
INEX_LD-20120111	vietnam war movie	movie	type
INEX_LD-20120111	vietnam war movie	vietnam war	attribute
INEX_LD-20120111	vietnam war movie	war movie	type
INEX_LD-20120112	vietnam war facts	vietnam	attribute
INEX_LD-20120112	vietnam war facts	war	attribute
INEX_LD-20120112	vietnam war facts	facts	type
INEX_LD-20120112	vietnam war facts	vietnam war	attribute
INEX_LD-20120112	vietnam war facts	war facts	type
INEX_LD-20120121	vietnam food recipes	vietnam	attribute
INEX_LD-20120121	vietnam food recipes	food	attribute
INEX_LD-20120121	vietnam food recipes	recipes	type
INEX_LD-20120121	vietnam food recipes	vietnam food	attribute
INEX_LD-20120121	vietnam food recipes	food recipes	type
INEX_LD-20120122	vietnamese food blog	vietnamese	attribute
INEX_LD-20120122	vietnamese food blog	food	attribute
INEX_LD-20120122	vietnamese food blog	blog	type
INEX_LD-20120122	vietnamese food blog	vietnamese food	attribute
INEX_LD-20120122	vietnamese food blog	food blog	type
INEX_LD-20120131	vietnam travel national park	vietnam	attribute
INEX_LD-20120131	vietnam travel national park	travel	attribute
INEX_LD-20120131	vietnam travel national park	national	attribute
INEX_LD-20120131	vietnam travel national park	park	type
INEX_LD-20120131	vietnam travel national park	vietnam travel	none
INEX_LD-20120131	vietnam travel national park	travel national	none
INEX_LD-20120131	vietnam travel national park	national park	type
INEX_LD-20120132	vietnam travel airports	vietnam	attribute
INEX_LD-20120132	vietnam travel airports	travel	attribute
INEX_LD-20120132	vietnam travel airports	airports	type
INEX_LD-20120132	vietnam travel airports	vietnam travel	attribute
INEX_LD-20120132	vietnam travel airports	travel airports	type
INEX_LD-20120211	guitar chord tuning	guitar	attribute
INEX_LD-20120211	guitar chord tuning	chord	unsure
INEX_LD-20120211	guitar chord tuning	tuning	unsure
INEX_LD-20120211	guitar chord tuning	guitar chord	attribute
INEX_LD-20120211	guitar chord tuning	chord tuning	unsure
INEX_LD-20120212	guitar chord minor	guitar	attribute
INEX_LD-20120212	guitar chord minor	chord	type
INEX_LD-20120212	guitar chord minor	minor	attribute
INEX_LD-20120212	guitar chord minor	guitar chord	type
INEX_LD-20120212	guitar chord minor	chord minor	type
INEX_LD-20120221	guitar classical flamenco	guitar	attribute
INEX_LD-20120221	guitar classical flamenco	classical	attribute
INEX_LD-20120221	guitar classical flamenco	flamenco	unsure
INEX_LD-20120221	guitar classical flamenco	guitar classical	none
INEX_LD-20120221	guitar classical flamenco	classical flamenco	unsure
INEX_LD-20120222	guitar classical bach	guitar	attribute
INEX_LD-20120222	guitar classical bach	classical	attribute
INEX_LD-20120222	guitar classical bach	bach	relation
INEX_LD-20120222	guitar classical bach	guitar classical	none
INEX_LD-20120222	guitar classical bach	classical bach	none
INEX_LD-20120231	guitar origin Russia	guitar	unsure
INEX_LD-20120231	guitar origin Russia	origin	none
INEX_LD-20120231	guitar origin Russia	russia	attribute
INEX_LD-20120231	guitar origin Russia	guitar origin	unsure
INEX_LD-20120231	guitar origin Russia	origin russia	none
INEX_LD-20120232	guitar origin blues	guitar	attribute
INEX_LD-20120232	guitar origin blues	origin	none
INEX_LD-20120232	guitar origin blues	blues	unsure
INEX_LD-20120232	guitar origin blues	guitar origin	none
INEX_LD-20120232	guitar origin blues	origin blues	none
INEX_LD-20120311	tango culture movies	tango	attribute
INEX_LD-20120311	tango culture movies	culture	none
INEX_LD-20120311	tango culture movies	movies	type
INEX_LD-20120311	tango culture movies	tango culture	attribute
INEX_LD-20120311	tango culture movies	culture movies	none
INEX_LD-20120312	tango culture countries	tango	attribute
INEX_LD-20120312	tango culture countries	culture	none
INEX_LD-20120312	tango culture countries	countries	none
INEX_LD-20120312	tango culture countries	tango culture	attribute
INEX_LD-20120312	tango culture countries	culture countries	none
INEX_LD-20120321	tango music  composers	tango	attribute
INEX_LD-20120321	tango music  composers	music	attribute
INEX_LD-20120321	tango music  composers	composers	type
INEX_LD-20120321	tango music  composers	tango music	attribute
INEX_LD-20120321	tango music  composers	music composers	type
INEX_LD-20120322	tango music instruments	tango	attribute
INEX_LD-20120322	tango music instruments	music	attribute
INEX_LD-20120322	tango music instruments	instruments	type
INEX_LD-20120322	tango music instruments	tango music	attribute
INEX_LD-20120322	tango music instruments	music instruments	type
INEX_LD-20120331	tango dance styles	tango	attribute
INEX_LD-20120331	tango dance styles	dance	attribute
INEX_LD-20120331	tango dance styles	styles	type
INEX_LD-20120331	tango dance styles	tango dance	attribute
INEX_LD-20120331	tango dance styles	dance styles	type
INEX_LD-20120332	tango dance history	tango	attribute
INEX_LD-20120332	tango dance history	dance	attribute
INEX_LD-20120332	tango dance history	history	none
INEX_LD-20120332	tango dance history	tango dance	attribute
INEX_LD-20120332	tango dance history	dance history	none
INEX_LD-20120411	bicycle sport races	bicycle	attribute
INEX_LD-20120411	bicycle sport races	sport	attribute
INEX_LD-20120411	bicycle sport races	races	type
INEX_LD-20120411	bicycle sport races	bicycle sport	attribute
INEX_LD-20120411	bicycle sport races	sport races	type
INEX_LD-20120412	bicycle sport disciplines	bicycle	attribute
INEX_LD-20120412	bicycle sport disciplines	sport	attribute
INEX_LD-20120412	bicycle sport disciplines	disciplines	type
INEX_LD-20120412	bicycle sport disciplines	bicycle sport	attribute
INEX_LD-20120412	bicycle sport disciplines	sport disciplines	type
INEX_LD-20120421	bicycle holiday towns	bicycle	attribute
INEX_LD-20120421	bicycle holiday towns	holiday	unsure
INEX_LD-20120421	bicycle holiday towns	towns	unsure
INEX_LD-20120421	bicycle holiday towns	bicycle holiday	unsure
INEX_LD-20120421	bicycle holiday towns	holiday towns	unsure
INEX_LD-20120422	bicycle holiday nature	bicycle	unsure
INEX_LD-20120422	bicycle holiday nature	holiday	unsure
INEX_LD-20120422	bicycle holiday nature	nature	unsure
INEX_LD-20120422	bicycle holiday nature	bicycle holiday	unsure
INEX_LD-20120422	bicycle holiday nature	holiday nature	unsure
INEX_LD-20120431	bicycle benefits health	bicycle	attribute
INEX_LD-20120431	bicycle benefits health	benefits	type
INEX_LD-20120431	bicycle benefits health	health	attribute
INEX_LD-20120431	bicycle benefits health	bicycle benefits	none
INEX_LD-20120431	bicycle benefits health	benefits health	type
INEX_LD-20120432	bicycle benefits environment	bicycle	attribute
INEX_LD-20120432	bicycle benefits environment	benefits	type
INEX_LD-20120432	bicycle benefits environment	environment	attribute
INEX_LD-20120432	bicycle benefits environment	bicycle benefits	none
INEX_LD-20120432	bicycle benefits environment	benefits environment	type
INEX_LD-20120511	female rock singers	female	attribute
INEX_LD-20120511	female rock singers	rock	attribute
INEX_LD-20120511	female rock singers	singers	type
INEX_LD-20120511	female rock singers	female rock	none
INEX_LD-20120511	female rock singers	rock singers	type
INEX_LD-20120512	south korean girl groups	south	attribute
INEX_LD-20120512	south korean girl groups	korean	attribute
INEX_LD-20120512	south korean girl groups	girl	attribute
INEX_LD-20120512	south korean girl groups	groups	type
INEX_LD-20120512	south korean girl groups	south korean	attribute
INEX_LD-20120512	south korean girl groups	korean girl	none
INEX_LD-20120512	south korean girl groups	girl groups	type
INEX_LD-20120521	electronic music genres	electronic	attribute
INEX_LD-20120521	electronic music genres	music	attribute
INEX_LD-20120521	electronic music genres	genres	type
INEX_LD-20120521	electronic music genres	electronic music	attribute
INEX_LD-20120521	electronic music genres	music genres	type
INEX_LD-20120522	digital music notation formats	digital	attribute
INEX_LD-20120522	digital music notation formats	music	attribute
INEX_LD-20120522	digital music notation formats	notation	attribute
INEX_LD-20120522	digital music notation formats	formats	type
INEX_LD-20120522	digital music notation formats	digital music	attribute
INEX_LD-20120522	digital music notation formats	music notation	attribute
INEX_LD-20120522	digital music notation formats	notation formats	type
INEX_LD-20120531	music conferences	music	attribute
INEX_LD-20120531	music conferences	conferences	type
INEX_LD-20120531	music conferences	music conferences	type
INEX_LD-20120532	intellectual property rights lobby	intellectual	none
INEX_LD-20120532	intellectual property rights lobby	property	attribute
INEX_LD-20120532	intellectual property rights lobby	rights	attribute
INEX_LD-20120532	intellectual property rights lobby	lobby	type
INEX_LD-20120532	intellectual property rights lobby	intellectual property	attribute
INEX_LD-20120532	intellectual property rights lobby	property rights	attribute
INEX_LD-20120532	intellectual property rights lobby	rights lobby	type
INEX_LD-2009022	Szechwan dish food cuisine	szechwan	entity
INEX_LD-2009022	Szechwan dish food cuisine	dish	attribute
INEX_LD-2009022	Szechwan dish food cuisine	food	attribute
INEX_LD-2009022	Szechwan dish food cuisine	cuisine	type
INEX_LD-2009022	Szechwan dish food cuisine	szechwan dish	none
INEX_LD-2009022	Szechwan dish food cuisine	dish food	none
INEX_LD-2009022	Szechwan dish food cuisine	food cuisine	type
INEX_LD-2009039	roman architecture	roman	attribute
INEX_LD-2009039	roman architecture	architecture	type
INEX_LD-2009039	roman architecture	roman architecture	type
INEX_LD-2009053	finland car industry manufacturer saab sisu	finland	attribute
INEX_LD-2009053	finland car industry manufacturer saab sisu	car	attribute
INEX_LD-2009053	finland car industry manufacturer saab sisu	industry	attribute
INEX_LD-2009053	finland car industry manufacturer saab sisu	manufacturer	type
INEX_LD-2009053	finland car industry manufacturer saab sisu	saab	entity
INEX_LD-2009053	finland car industry manufacturer saab sisu	sisu	entity
INEX_LD-2009053	finland car industry manufacturer saab sisu	finland car	none
INEX_LD-2009053	finland car industry manufacturer saab sisu	car industry	attribute
INEX_LD-2009053	finland car industry manufacturer saab sisu	industry manufacturer	type
INEX_LD-2009053	finland car industry manufacturer saab sisu	manufacturer saab	none
INEX_LD-2009053	finland car industry manufacturer saab sisu	saab sisu	none
INEX_LD-2009061	france second world war normandy	france	relation
INEX_LD-2009061	france second world war normandy	second	none
INEX_LD-2009061	france second world war normandy	world	none
INEX_LD-2009061	france second world war normandy	war	relation
INEX_LD-2009061	france second world war normandy	normandy	relation
INEX_LD-2009061	france second world war normandy	france second	none
INEX_LD-2009061	france second world war normandy	second world	none
INEX_LD-2009061	france second world war normandy	world war	relation
INEX_LD-2009061	france second world war normandy	war normandy	none
INEX_LD-2009062	social network group selection	social	unsure
INEX_LD-2009062	social network group selection	network	unsure
INEX_LD-2009062	social network group selection	group	unsure
INEX_LD-2009062	social network group selection	selection	unsure
INEX_LD-2009062	social network group selection	social network	unsure
INEX_LD-2009062	social network group selection	network group	unsure
INEX_LD-2009062	social network group selection	group selection	unsure
INEX_LD-2009063	D-Day normandy invasion	d	none
INEX_LD-2009063	D-Day normandy invasion	normandy	attribute
INEX_LD-2009063	D-Day normandy invasion	invasion	type
INEX_LD-2009063	D-Day normandy invasion	d normandy	none
INEX_LD-2009063	D-Day normandy invasion	normandy invasion	type
INEX_LD-2009074	web ranking scoring algorithm	web	attribute
INEX_LD-2009074	web ranking scoring algorithm	ranking	attribute
INEX_LD-2009074	web ranking scoring algorithm	scoring	attribute
INEX_LD-2009074	web ranking scoring algorithm	algorithm	type
INEX_LD-2009074	web ranking scoring algorithm	web ranking	attribute
INEX_LD-2009074	web ranking scoring algorithm	ranking scoring	none
INEX_LD-2009074	web ranking scoring algorithm	scoring algorithm	type
INEX_LD-2009096	Eiffel	eiffel	entity
INEX_LD-2009111	europe solar power facility	europe	attribute
INEX_LD-2009111	europe solar power facility	solar	attribute
INEX_LD-2009111	europe solar power facility	power	attribute
INEX_LD-2009111	europe solar power facility	facility	type
INEX_LD-2009111	europe solar power facility	europe solar	none
INEX_LD-2009111	europe solar power facility	solar power	attribute
INEX_LD-2009111	europe solar power facility	power facility	type
INEX_LD-2009115	virtual museums	virtual	attribute
INEX_LD-2009115	virtual museums	museums	type
INEX_LD-2009115	virtual museums	virtual museums	type
INEX_LD-2010004	Indian food	indian	attribute
INEX_LD-2010004	Indian food	food	type
INEX_LD-2010004	Indian food	indian food	type
INEX_LD-2010014	composer museum	composer	attribute
INEX_LD-2010014	composer museum	museum	type
INEX_LD-2010014	composer museum	composer museum	type
INEX_LD-2010019	gallo roman architecture in paris	gallo	attribute
INEX_LD-2010019	gallo roman architecture in paris	roman	attribute
INEX_LD-2010019	gallo roman architecture in paris	architecture	type
INEX_LD-2010019	gallo roman architecture in paris	paris	attribute
INEX_LD-2010019	gallo roman architecture in paris	gallo roman	attribute
